,中文题名,作者,学位授予单位,数据库,学位授予年度,被引,下载,操作,下载地址
10,初中数学O2O教学模式下教学内容衔接研究,邓莎,黄冈师范学院,硕士,2021年,,38,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWvg1T3B3KEx2dJ1kMql3QVZFdTxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
11,中学数学中三角函数的教学研究与解题分析,盛冰洁,安庆师范大学,硕士,2021年,,67,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWUJHRTNHbCl3b4FkUTJkZKBTYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
12,支架式教学在初中数学课堂的应用,汪贞贞,安庆师范大学,硕士,2021年,,17,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWhxmVudTMTpETx0UVVJkZKBTYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
13,基于深度学习的高中数学教学实践研究,范传凤,安庆师范大学,硕士,2021年,,31,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWP1GSKdzaC1kWx0UVVJkZKBTYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
14,数学错题集的建立与管理研究,王玉贺,安庆师范大学,硕士,2021年,,17,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWVVzbWZzUPREc00UVVJkZKBTYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
15,基于翻转课堂的混合式教学模式在初中数学中的应用研究,李仪,安庆师范大学,硕士,2021年,,29,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWPlGR5VEVM52dx0UVVJkZKBTYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
16,小学生数学逻辑思维能力培养案例研究,孟伶丽,长春师范大学,硕士,2021年,,9,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWNJDTlFUNHNzLqtSORpGRwpXYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
17,数学学科核心素养背景下等差数列教学设计及实践研究,汪洪羽,长春师范大学,硕士,2021年,,37,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWMVUNjp1a2ZjVqtSORpGRwpXYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
18,基于数学建模思想培养中学生创新思维的理论与实践研究,余蕊,安庆师范大学,硕士,2021年,,22,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWwNWOuJzbRt2cw0UVVJkZKBTYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
19,高中数学开放题及其设计的研究,戴家强,江西科技师范大学,硕士,2021年,,1,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWHhzcSFnWyc2a012dXVUM0lXYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
20,STEAM中Arts在中学数学教学中的应用现状调查及实践研究,孙思思,江西科技师范大学,硕士,2021年,,5,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWxhjYmZGbygTaBZFeXVUM0lXYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
21,高中数学教学中渗透数学史的实践研究,汪霞,江西科技师范大学,硕士,2021年,,3,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW3NGcIFGOPtCOBZFeXVUM0lXYYxmT1MUV4kmZmZHOWFTQ2QERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFDTEMP
22,民国时期（1912-1940）大学入学数学试题研究,徐思迪,四川师范大学,硕士,2021年,,,下载,https://kns.cnki.net//kns8/download?filename=VZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW=0TUEVWeQNGV1AzdGJXW2NmRolDUVRlN3MFUr5WR3FERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlSip&tablename=CMFDTEMPDAY
23,高中生椭圆认知水平的发展研究,辜博,四川师范大学,硕士,2021年,,,下载,https://kns.cnki.net//kns8/download?filename=VZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW=0zaWNnZWV0NzwWcGJXW2NmRolDUVRlN3MFUr5WR3FERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlSip&tablename=CMFDTEMPDAY
24,初中生几何最值学习障碍调查及教学策略研究,汤奎,四川师范大学,硕士,2021年,,,下载,https://kns.cnki.net//kns8/download?filename=VZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW=0zclZ2QrJUQlBzdGJXW2NmRolDUVRlN3MFUr5WR3FERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlSip&tablename=CMFDTEMPDAY
25,民族地区小学数学教师的“问题提出”观念研究,刘洁,中央民族大学,硕士,2021年,,17,下载,https://kns.cnki.net//kns8/download?filename=VZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW=0TQvolYipUQJZja212K5EmRolDUVRlN3MFUr5WR3FERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlSip&tablename=CMFDTEMP
26,西藏七年级学生方程解题错误类型及成因研究,任雪雁,中央民族大学,硕士,2021年,,10,下载,https://kns.cnki.net//kns8/download?filename=VZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW=0DMmJ3d2REZ5cXa212K5EmRolDUVRlN3MFUr5WR3FERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlSip&tablename=CMFDTEMP
27,高中数学人教A版（必修）新旧教材立体几何部分的比较研究,李肖肖,中央民族大学,硕士,2021年,,55,下载,https://kns.cnki.net//kns8/download?filename=VZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW=0DMXd0QJVjcpZja212K5EmRolDUVRlN3MFUr5WR3FERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlSip&tablename=CMFDTEMP
28,小学数学课堂教师形成性反馈的现状研究,黄华,中央民族大学,硕士,2021年,,14,下载,https://kns.cnki.net//kns8/download?filename=VZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW=0TWrQ3KoJWQJZja212K5EmRolDUVRlN3MFUr5WR3FERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlSip&tablename=CMFDTEMP
29,青海省黄南州五年级学生分数概念理解层级研究,姜智睿,中央民族大学,硕士,2021年,,15,下载,https://kns.cnki.net//kns8/download?filename=VZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW=0TWhhVN1hXQJZja212K5EmRolDUVRlN3MFUr5WR3FERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlSip&tablename=CMFDTEMP
30,初中数学“方程与不等式”内容的教材比较研究,陈露露,中央民族大学,硕士,2021年,,41,下载,https://kns.cnki.net//kns8/download?filename=VZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW=0zYqZWOH9GbtZja212K5EmRolDUVRlN3MFUr5WR3FERKd1ZrVkdJ5URydlaJh0N4EUNQJmaNhlSip&tablename=CMFDTEMP
31,促进深度学习的初中数学概念教学设计研究,胡秋立,天津师范大学,硕士,2021年,,203,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWFVHRZBXY4JkdWhWQO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
32,我国高中数学教科书中数学探究内容的比较研究,齐萱,天津师范大学,硕士,2021年,,41,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWQN0SNNXe5RGcVhWQO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
33,指向数学学科核心素养的高中章引言课教学设计及实施研究,邹鑫,天津师范大学,硕士,2021年,,82,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWjR2ZPd2TUBTaChWQO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
34,高一学生函数概念CPFS结构调查研究,罗丹,天津师范大学,硕士,2021年,,59,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW4o3dJVzV5wEetdXQO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
35,高三学生数学自我监控能力、错题管理水平与学业水平相关性研究,张宇晴,天津师范大学,硕士,2021年,,59,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWzUFaohGby50StdXQO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
36,数学文化在初中“数与代数”教学中的运用研究,李甜甜,天津师范大学,硕士,2021年,,98,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWl1ka0ITOwxkaRRFRO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
37,高中生数学运算素养的现状、问题与对策,杨茹冰,天津师范大学,硕士,2021年,,103,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWmlXdBN0d3t0MkRFRO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
38,“课程思政”视域下中职数学教学设计研究,李艳娜,天津师范大学,硕士,2021年,,395,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW4QGV3I2NBhFWjRFRO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
39,“课程思政”视域下面向高中美术生的数学教学设计研究,李兆敏,天津师范大学,硕士,2021年,,184,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW4M1aClWRiFWQjRFRO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
40,人教版新旧高中数学教科书“概率与统计”比较研究,李茹茜,天津师范大学,硕士,2021年,,73,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWPBXZlRjYxQVNaRFRO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
41,面向深度学习的高中数学概念课课堂提问研究,郑丽瑶,天津师范大学,硕士,2021年,,119,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVWO9UWEBHSSRDN3BHRO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
42,基于概念同化学习的高中数学概念课师生互动评价指标体系构建研究,甄祎明,天津师范大学,硕士,2021年,,59,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW4olYKhFOCJlU3BHRO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
43,初高中数学教学衔接的现状调查与对策研究,李佳月,天津师范大学,硕士,2021年,,96,下载,https://kns.cnki.net//kns8/download?filename=ipVZwkjQvUkZCdzbnl0crN0brl0LtdTQwkEN5cEMqNVOEl0QUJjRSlVboJzKrNjSHl2cvJEail0Q5RVW3dnbKZVTahncrAHRO5mQPRHaLNWWPRletdUNoVkZihXSYJWQqlGVyVUNJ5URydlaJh0N4EUNQJmaNhlS&tablename=CMFD202102
44,“比的意义”不同教学过程设计对不同学业水平学生的学习影响研究,苏帅,天津师范大学,硕士,2021年,,57,下载,https://kns.cnki.net//kns8/download?filename=1dGSHhHVwdld2FDc3FURylkWaNXOYVleyRzTs9yaIdHchRUczl2dhFzbiFERCh3b4tyRn1mWDJWaTRkYnp2dGp1cSJ1cq50c0d0ar50KOpXah1GW5Z0bBFjU0M0YyRGOkpUb6dmRrE2MYpFa4cGdQlnb4x2RpZkZ&tablename=CMFD202102
45,高中数学线上教学评价指标体系构建及应用研究,江文,天津师范大学,硕士,2021年,,117,下载,https://kns.cnki.net//kns8/download?filename=Qlnb4x2RpZkZ1dGSHhHVwdld2FDc3FURylkWaNXOYVleyRzTs9yaIdHchRUczl2dhFzbiFERCh3b4tyRn1mWDJWaTRkY==wdvFFRr0EdiVUcZR2Z4JEZmNWYQZHWFljRVtCTDpGaL9SQrZUZEdnSrQDWHFjU0M0YyRGOkpUb6dmRrE2MYpFa4cGd&tablename=CMFD202102
46,高中数学教师课堂教学行为评价指标体系构建研究,郝晨慧,天津师范大学,硕士,2021年,,92,下载,https://kns.cnki.net//kns8/download?filename=1dGSHhHVwdld2FDc3FURylkWaNXOYVleyRzTs9yaIdHchRUczl2dhFzbiFERCh3b4tyRn1mWDJWaTRkYSRTOWtWaKdFeVxGd0d0ar50KOpXah1GW5Z0bBFjU0M0YyRGOkpUb6dmRrE2MYpFa4cGdQlnb4x2RpZkZ&tablename=CMFD202102
47,高中数学学情分析指标框架的构建及其实践研究,张宇静,天津师范大学,硕士,2021年,,54,下载,https://kns.cnki.net//kns8/download?filename=1dGSHhHVwdld2FDc3FURylkWaNXOYVleyRzTs9yaIdHchRUczl2dhFzbiFERCh3b4tyRn1mWDJWaTRkYpJkRWtGezNjUVhzc0d0ar50KOpXah1GW5Z0bBFjU0M0YyRGOkpUb6dmRrE2MYpFa4cGdQlnb4x2RpZkZ&tablename=CMFD202102
48,高一学生数学创新题解题水平与数学核心素养相关性研究,张天宇,天津师范大学,硕士,2021年,,43,下载,https://kns.cnki.net//kns8/download?filename=1dGSHhHVwdld2FDc3FURylkWaNXOYVleyRzTs9yaIdHchRUczl2dhFzbiFERCh3b4tyRn1mWDJWaTRkYWR2KSVWbwM0Kvhzc0d0ar50KOpXah1GW5Z0bBFjU0M0YyRGOkpUb6dmRrE2MYpFa4cGdQlnb4x2RpZkZ&tablename=CMFD202102
49,高一学生代数推理能力现状调查与对策研究,王彦蓉,天津师范大学,硕士,2021年,,50,下载,https://kns.cnki.net//kns8/download?filename=1dGSHhHVwdld2FDc3FURylkWaNXOYVleyRzTs9yaIdHchRUczl2dhFzbiFERCh3b4tyRn1mWDJWaTRkYZBTS1Z3KCd1Vvhzc0d0ar50KOpXah1GW5Z0bBFjU0M0YyRGOkpUb6dmRrE2MYpFa4cGdQlnb4x2RpZkZ&tablename=CMFD202102
50,高中生三角函数概念理解水平调查研究,陈晓娅,天津师范大学,硕士,2021年,,77,下载,https://kns.cnki.net//kns8/download?filename=1dGSHhHVwdld2FDc3FURylkWaNXOYVleyRzTs9yaIdHchRUczl2dhFzbiFERCh3b4tyRn1mWDJWaTRkY3EmT6JnMhVTewhzc0d0ar50KOpXah1GW5Z0bBFjU0M0YyRGOkpUb6dmRrE2MYpFa4cGdQlnb4x2RpZkZ&tablename=CMFD202102

51,初二学生数学语言转换能力现状调查及干预改进实验研究,田素,天津师范大学,硕士,2021年,,33,下载,https://kns.cnki.net//kns8/download?filename=4c0Yq1URGBVORR3TTZ2drF3MhdWNvNTerR0SWFlSXVjZFtWTRZFSjdDVPtidlVjeDBXYSh0SEVkQPFFaBlUSIpUQk9WMzATaiFFe082YJhkQjd3SjRlbRpUZLF3a11WZylEd1hkYEJneil2U5p2L5QmSC5WWPZHZ&tablename=CMFD202102
52,“课程思政”视域下初中数学教学设计研究,刘家新,天津师范大学,硕士,2021年,,319,下载,https://kns.cnki.net//kns8/download?filename=4c0Yq1URGBVORR3TTZ2drF3MhdWNvNTerR0SWFlSXVjZFtWTRZFSjdDVPtidlVjeDBXYSh0SEVkQPFFaDtmV3k3YvVUTzATaiFFe082YJhkQjd3SjRlbRpUZLF3a11WZylEd1hkYEJneil2U5p2L5QmSC5WWPZHZ&tablename=CMFD202102
53,高一学生数学运算素养现状调查与对策研究,邓翰香,天津师范大学,硕士,2021年,,75,下载,https://kns.cnki.net//kns8/download?filename=4c0Yq1URGBVORR3TTZ2drF3MhdWNvNTerR0SWFlSXVjZFtWTRZFSjdDVPtidlVjeDBXYSh0SEVkQPFFajJFTMNWOBZzRvATaiFFe082YJhkQjd3SjRlbRpUZLF3a11WZylEd1hkYEJneil2U5p2L5QmSC5WWPZHZ&tablename=CMFD202102
54,高中数学概念课教学目标设计评价指标体系构建研究,张梦瑶,天津师范大学,硕士,2021年,,81,下载,https://kns.cnki.net//kns8/download?filename=4c0Yq1URGBVORR3TTZ2drF3MhdWNvNTerR0SWFlSXVjZFtWTRZFSjdDVPtidlVjeDBXYSh0SEVkQPFFaDh3L4ZmWqRWYwhGaiFFe082YJhkQjd3SjRlbRpUZLF3a11WZylEd1hkYEJneil2U5p2L5QmSC5WWPZHZ&tablename=CMFD202102
55,高中数学复习课教学目标设计评价指标体系构建研究,张婉钰,天津师范大学,硕士,2021年,,66,下载,https://kns.cnki.net//kns8/download?filename=4c0Yq1URGBVORR3TTZ2drF3MhdWNvNTerR0SWFlSXVjZFtWTRZFSjdDVPtidlVjeDBXYSh0SEVkQPFFayh0ZU1mWBhFUrhGaiFFe082YJhkQjd3SjRlbRpUZLF3a11WZylEd1hkYEJneil2U5p2L5QmSC5WWPZHZ&tablename=CMFD202102
56,基于APOS理论的指数函数概念教学研究,姜绍蕊,天津师范大学,硕士,2021年,,83,下载,https://kns.cnki.net//kns8/download?filename=4c0Yq1URGBVORR3TTZ2drF3MhdWNvNTerR0SWFlSXVjZFtWTRZFSjdDVPtidlVjeDBXYSh0SEVkQPFFapdWdURTT1kEMrhGaiFFe082YJhkQjd3SjRlbRpUZLF3a11WZylEd1hkYEJneil2U5p2L5QmSC5WWPZHZ&tablename=CMFD202102
57,小学数学概念课教学目标设计评价指标体系构建研究,田晴,天津师范大学,硕士,2021年,,65,下载,https://kns.cnki.net//kns8/download?filename=4c0Yq1URGBVORR3TTZ2drF3MhdWNvNTerR0SWFlSXVjZFtWTRZFSjdDVPtidlVjeDBXYSh0SEVkQPFFa3Y3QahzTroEdrhGaiFFe082YJhkQjd3SjRlbRpUZLF3a11WZylEd1hkYEJneil2U5p2L5QmSC5WWPZHZ&tablename=CMFD202102
58,初中数学新授课教学目标设计评价指标体系构建研究,孙晨红,天津师范大学,硕士,2021年,,46,下载,https://kns.cnki.net//kns8/download?filename=4c0Yq1URGBVORR3TTZ2drF3MhdWNvNTerR0SWFlSXVjZFtWTRZFSjdDVPtidlVjeDBXYSh0SEVkQPFFay8yUkl1UqllZ3Y1ZiFFe082YJhkQjd3SjRlbRpUZLF3a11WZylEd1hkYEJneil2U5p2L5QmSC5WWPZHZ&tablename=CMFD202102
